name,email,phone,address
Alice Johnson,alice.johnson@example.com,555-1234,123 Maple St
Bob Smith,bob.smith@example.com,555-5678,456 Oak Ave
Carol White,carol.white@example.com,555-8765,789 Pine Rd
David Brown,david.brown@example.com,555-4321,321 Birch Blvd
Eva Green,eva.green@example.com,555-9876,654 Cedar Lane
Frank Moore,frank.moore@example.com,555-2468,987 Spruce Dr
Grace Lee,grace.lee@example.com,555-1357,741 Aspen Way
Henry King,henry.king@example.com,555-8642,852 Walnut St
Isabel Scott,isabel.scott@example.com,555-9753,963 Chestnut Ave
Jackie Turner,jackie.turner@example.com,555-3579,159 Redwood Rd

